iter	RMSE
0	288.648906
1	281.6968601
2	275.1338163
3	268.3728444
4	262.0412389
5	256.8442113
6	251.4893613
7	246.676616
8	241.9493989
9	236.8802317
10	231.9263149
11	227.2555348
12	222.5439845
13	218.6142398
14	214.2138531
15	210.4718863
16	206.6498449
17	203.2487967
18	199.932941
19	196.8504189
20	193.7677388
21	190.8522841
22	188.0654664
23	185.4535723
24	182.6926247
25	180.5066451
26	178.0697161
27	175.5302519
28	173.1384331
29	171.0726629
30	169.0818765
31	167.0696202
32	165.0376463
33	163.3105959
34	161.6192803
35	159.7536085
36	157.8501256
37	156.6998507
38	155.2683692
39	153.7938446
40	152.5427255
41	151.2977609
42	149.8369383
43	148.485819
44	147.3802659
45	146.2355833
46	144.8914369
47	143.8581632
48	142.8741059
49	141.9079101
50	140.8832313
51	140.0075329
52	139.1379011
53	138.2362854
54	137.2567269
55	136.4441669
56	135.6305776
57	134.8956882
58	134.1510136
59	133.2101731
60	132.6592719
61	131.8987821
62	131.2414216
63	130.5615378
64	129.9640838
65	129.3150871
66	128.4032035
67	127.7511046
68	127.02824
69	126.2975948
70	125.7439285
71	125.1874621
72	124.6210985
73	124.1265084
74	123.4000983
75	122.7993393
76	122.2000039
77	121.7484598
78	121.1923563
79	120.7150477
80	120.3598158
81	119.9070802
82	119.427423
83	118.9035587
84	118.413562
85	117.9639863
86	117.5641831
87	116.9884576
88	116.5805853
89	116.2242867
90	115.870501
91	115.5041238
92	115.1829458
93	114.8463085
94	114.4518628
95	114.0585999
96	113.615886
97	113.2791661
98	112.9557447
99	112.588739
100	112.2215551
101	111.8418215
102	111.4826732
103	111.1629362
104	110.8775719
105	110.5694932
106	110.2339344
107	109.9460029
108	109.6430086
109	109.3717249
110	109.049684
111	108.739357
112	108.4664973
113	108.1902101
114	107.9253475
115	107.6434948
116	107.4491171
117	107.1722968
118	106.825127
119	106.5409538
120	106.2971824
121	106.0628425
122	105.8653143
123	105.5454383
124	105.3177381
125	105.0809709
126	104.8016571
127	104.5501453
128	104.3708418
129	104.140966
130	103.9278024
131	103.7154693
132	103.4082202
133	103.0638174
134	102.8596834
135	102.5779726
136	102.3742119
137	102.1194993
138	101.9401798
139	101.7300296
140	101.4297825
141	101.2015928
142	100.9878203
143	100.7197096
144	100.4797434
145	100.2424984
146	100.008433
147	99.81422351
148	99.5512142
149	99.22727693
150	99.08894911
151	98.8656152
152	98.57340977
153	98.43962392
154	98.20015877
155	97.98483735
156	97.80458407
157	97.5771727
158	97.35242936
159	97.10695311
160	96.91018512
161	96.64230488
162	96.51243746
163	96.3170444
164	96.16577331
165	96.00672777
166	95.80759244
167	95.65960062
168	95.43348923
169	95.29688048
170	95.04949181
171	94.89900143
172	94.71500374
173	94.55842898
174	94.3681487
175	94.22118957
176	94.07033833
177	93.85531479
178	93.70394018
179	93.4945718
180	93.23151041
181	93.10437356
182	92.98861622
183	92.81528943
184	92.612328
185	92.47489776
186	92.27476882
187	92.13738338
188	91.99735012
189	91.87289627
190	91.68901627
191	91.52895515
192	91.38851644
193	91.21838735
194	91.04044208
195	90.88855345
196	90.74832594
197	90.60078811
198	90.46412743
199	90.25746319
200	90.1180778
201	89.96996573
202	89.81265027
203	89.61089728
204	89.48904866
205	89.34942133
206	89.18304163
207	89.01443481
208	88.87113922
209	88.68736191
210	88.5347224
211	88.36970171
212	88.19092244
213	88.04259651
214	87.93375072
215	87.81290929
216	87.69229478
217	87.56147433
218	87.39325003
219	87.16148155
220	86.97170943
221	86.82811333
222	86.72017157
223	86.54646396
224	86.40999293
225	86.24953389
226	86.12069527
227	85.91229961
228	85.76129658
229	85.6274352
230	85.46950796
231	85.35291032
232	85.20335822
233	85.0618651
234	84.9001859
235	84.74106319
236	84.5822292
237	84.41604928
238	84.28618127
239	84.17176411
240	84.04340025
241	83.91224331
242	83.76276029
243	83.59564129
244	83.48213084
245	83.38262552
246	83.29773657
247	83.12564026
248	82.98400937
249	82.81727684
250	82.64872125
251	82.53699487
252	82.32858252
253	82.18824219
254	82.06095913
255	81.95496265
256	81.77827109
257	81.64407946
258	81.55509091
259	81.38876594
260	81.27569334
261	81.14650521
262	80.98810656
263	80.86311947
264	80.70732563
265	80.55650242
266	80.48832872
267	80.3465732
268	80.22895339
269	80.07108427
270	79.93192266
271	79.81652651
272	79.66075752
273	79.53425656
274	79.36951042
275	79.25283356
276	79.14592658
277	79.03296777
278	78.93851504
279	78.83043049
280	78.66233063
281	78.51649628
282	78.38011239
283	78.26784078
284	78.13159997
285	77.9575544
286	77.86676376
287	77.76143753
288	77.65301408
289	77.51558789
290	77.4340626
291	77.27920732
292	77.18738319
293	77.06990555
294	76.99630365
295	76.82589181
296	76.70721017
297	76.63242206
298	76.54356693
299	76.45028632
300	76.367162
301	76.28722525
302	76.21690005
303	76.09677905
304	75.96824555
305	75.87170125
306	75.77552294
307	75.6131067
308	75.52330808
309	75.44191423
310	75.29973426
311	75.1883065
312	75.10494128
313	74.99319873
314	74.93005161
315	74.85192105
316	74.77899627
317	74.65510587
318	74.5679459
319	74.47602439
320	74.33735605
321	74.27328584
322	74.16115808
323	74.07965678
324	74.00090079
325	73.86945328
326	73.7082464
327	73.60500183
328	73.49451754
329	73.3915991
330	73.30559421
331	73.22822644
332	73.07623774
333	73.01579117
334	72.87081987
335	72.80754115
336	72.69473638
337	72.60198725
338	72.47848124
339	72.38452296
340	72.30721914
341	72.24274858
342	72.09071966
343	71.96638492
344	71.87774169
345	71.73502041
346	71.61736761
347	71.52808519
348	71.47016365
349	71.37664635
350	71.24061125
351	71.11715375
352	71.04470719
353	70.90344976
354	70.8464272
355	70.76821851
356	70.67943439
357	70.61045485
358	70.50070232
359	70.43589001
360	70.31326146
361	70.23371482
362	70.14123744
363	70.02675133
364	69.89418049
365	69.77813309
366	69.69457845
367	69.59474297
368	69.50864528
369	69.44442232
370	69.33030451
371	69.24594556
372	69.14224358
373	69.07175793
374	68.96728567
375	68.83803466
376	68.80580313
377	68.77393936
378	68.66440392
379	68.57234024
380	68.49047293
381	68.41008428
382	68.26203106
383	68.22379562
384	68.13516123
385	68.03638391
386	67.94991504
387	67.83292039
388	67.74278826
389	67.63950757
390	67.55094033
391	67.44054975
392	67.3501919
393	67.28076287
394	67.18543037
395	67.1011554
396	67.0032532
397	66.91017553
398	66.81595639
399	66.71848218
400	66.64126905
401	66.59502653
402	66.50169236
403	66.40991403
404	66.33248386
405	66.22951812
406	66.15220992
407	66.07776583
408	65.97391674
409	65.88554367
410	65.76454881
411	65.68019875
412	65.6033764
413	65.5399145
414	65.46418833
415	65.35158665
416	65.2908867
417	65.15817943
418	65.06317968
419	64.96718693
420	64.88102592
421	64.77896408
422	64.682805
423	64.65009472
424	64.54783533
425	64.47111341
426	64.39239499
427	64.32497857
428	64.242753
429	64.17381946
430	64.07536038
431	64.01113467
432	63.89879676
433	63.86049564
434	63.79499267
435	63.70893845
436	63.652367
437	63.57485862
438	63.49922854
439	63.44162043
440	63.34393718
441	63.25409056
442	63.18940053
443	63.16032628
444	63.05812395
445	62.97473298
446	62.882826
447	62.83564732
448	62.71138977
449	62.63363356
450	62.56419001
451	62.49204113
452	62.41173211
453	62.33951788
454	62.28739926
455	62.19509599
456	62.13889329
457	62.10074331
458	62.01879011
459	61.94899194
460	61.88302097
461	61.80468458
462	61.72066891
463	61.66248361
464	61.55520438
465	61.48656628
466	61.40939993
467	61.33143246
468	61.27328194
469	61.21632711
470	61.13381513
471	61.07622472
472	61.00690345
473	60.92637624
474	60.84570061
475	60.75734767
476	60.67624444
477	60.60334263
478	60.52895731
479	60.45638865
480	60.39612392
481	60.33020803
482	60.27115797
483	60.1708353
484	60.0862445
485	60.02176506
486	60.0046092
487	59.93474353
488	59.85173187
489	59.78143292
490	59.71364448
491	59.67647078
492	59.62879354
493	59.50619143
494	59.44112641
495	59.38731825
496	59.33215668
497	59.28468932
498	59.22238125
499	59.17216394
500	59.10576677
501	59.04742463
502	58.96332778
503	58.88230804
504	58.80399045
505	58.7593073
506	58.71742098
507	58.64595237
508	58.59802797
509	58.55515773
510	58.45668311
511	58.38992497
512	58.3395376
513	58.29403433
514	58.2437139
515	58.1856494
516	58.11857142
517	58.06847487
518	58.0187288
519	57.94211469
520	57.87736144
521	57.82563094
522	57.73316374
523	57.67892692
524	57.63941059
525	57.58715188
526	57.51205151
527	57.464632
528	57.3830077
529	57.3111651
530	57.23686758
531	57.19215077
532	57.13097401
533	57.08702148
534	57.01410169
535	56.92136259
536	56.87537738
537	56.8134469
538	56.78823638
539	56.72193393
540	56.68467557
541	56.64776488
542	56.59306196
543	56.54291355
544	56.50948486
545	56.46574583
546	56.40293231
547	56.33068106
548	56.25772512
549	56.21138163
550	56.18203032
551	56.14952088
552	56.10058365
553	56.01196275
554	55.92582386
555	55.84680527
556	55.81804782
557	55.74530836
558	55.71579878
559	55.66859863
560	55.62091163
561	55.55967702
562	55.50189284
563	55.43115238
564	55.37766949
565	55.31239585
566	55.26307982
567	55.19049272
568	55.14757341
569	55.09367396
570	55.04982163
571	54.99705288
572	54.93684143
573	54.91479134
574	54.84732828
575	54.81798846
576	54.75943084
577	54.68874192
578	54.60047352
579	54.54481592
580	54.50243027
581	54.46598859
582	54.39914192
583	54.3585423
584	54.27582604
585	54.2270418
586	54.17947262
587	54.11722361
588	54.05790729
589	53.99889109
590	53.942975
591	53.91666203
592	53.87887191
593	53.81241455
594	53.77572623
595	53.73531293
596	53.69337683
597	53.65466846
598	53.60205169
599	53.5758285
600	53.53208868
601	53.46666168
602	53.42714771
603	53.34203546
604	53.26951223
605	53.20328359
606	53.16616436
607	53.1109959
608	53.05446754
609	53.04172553
610	52.98916562
611	52.93073864
612	52.88209869
613	52.81694916
614	52.75390498
615	52.73805394
