iter	Passed	Remaining
0	68	20572
1	126	18835
2	189	18763
3	298	22086
4	382	22548
5	448	21958
6	465	19493
7	482	17613
8	499	16149
9	520	15083
10	535	14073
11	550	13207
12	566	12498
13	584	11934
14	604	11491
15	621	11033
16	638	10634
17	657	10295
18	679	10053
19	704	9859
20	724	9620
21	745	9414
22	764	9206
23	785	9038
24	801	8821
25	834	8789
26	851	8611
27	868	8435
28	885	8272
29	902	8121
30	922	8004
31	942	7889
32	959	7761
33	977	7649
34	993	7519
35	1009	7402
36	1024	7284
37	1044	7203
38	1060	7100
39	1077	7002
40	1093	6909
41	1116	6856
42	1138	6806
43	1156	6728
44	1174	6654
45	1193	6589
46	1212	6526
47	1229	6454
48	1256	6438
49	1277	6389
50	1294	6319
51	1310	6248
52	1326	6182
53	1341	6112
54	1361	6065
55	1378	6006
56	1396	5951
57	1411	5888
58	1427	5832
59	1441	5766
60	1454	5697
61	1474	5659
62	1490	5605
63	1505	5552
64	1523	5507
65	1541	5466
66	1560	5426
67	1578	5385
68	1595	5341
69	1611	5293
70	1628	5252
71	1652	5232
72	1672	5201
73	1688	5156
74	1703	5109
75	1718	5066
76	1734	5022
77	1748	4977
78	1771	4955
79	1789	4921
80	1807	4886
81	1824	4850
82	1841	4813
83	1858	4780
84	1878	4752
85	1895	4716
86	1911	4680
87	1929	4647
88	1945	4612
89	1962	4578
90	1978	4544
91	1998	4517
92	2014	4484
93	2029	4447
94	2044	4412
95	2070	4400
96	2089	4372
97	2105	4338
98	2120	4306
99	2137	4274
100	2157	4250
101	2175	4222
102	2195	4199
103	2214	4173
104	2253	4185
105	2274	4161
106	2304	4157
107	2324	4131
108	2344	4108
109	2365	4085
110	2385	4061
111	2401	4031
112	2418	4002
113	2435	3973
114	2456	3952
115	2474	3924
116	2490	3894
117	2504	3863
118	2525	3841
119	2541	3812
120	2558	3784
121	2576	3759
122	2591	3729
123	2610	3704
124	2627	3678
125	2646	3654
126	2663	3628
127	2679	3601
128	2697	3575
129	2715	3551
130	2734	3528
131	2753	3504
132	2771	3480
133	2786	3451
134	2803	3426
135	2822	3403
136	2838	3377
137	2858	3355
138	2880	3336
139	2896	3310
140	2915	3287
141	2931	3261
142	2949	3238
143	2965	3212
144	2981	3187
145	2996	3161
146	3014	3137
147	3035	3117
148	3050	3091
149	3070	3070
150	3085	3044
151	3103	3021
152	3119	2997
153	3136	2973
154	3154	2951
155	3171	2927
156	3186	2902
157	3202	2878
158	3217	2853
159	3230	2827
160	3243	2800
161	3262	2778
162	3280	2757
163	3318	2751
164	3340	2733
165	3358	2711
166	3383	2694
167	3403	2674
168	3421	2652
169	3440	2631
170	3464	2613
171	3483	2592
172	3502	2571
173	3524	2551
174	3548	2534
175	3572	2516
176	3606	2506
177	3631	2488
178	3651	2468
179	3671	2447
180	3694	2429
181	3722	2413
182	3750	2397
183	3770	2377
184	3799	2361
185	3822	2342
186	3845	2323
187	3883	2313
188	3914	2299
189	3932	2276
190	3951	2254
191	3968	2232
192	3990	2212
193	4010	2191
194	4029	2169
195	4046	2147
196	4064	2124
197	4084	2104
198	4123	2092
199	4166	2083
200	4182	2060
201	4201	2038
202	4222	2017
203	4244	1997
204	4261	1975
205	4281	1953
206	4300	1932
207	4318	1910
208	4333	1886
209	4349	1864
210	4366	1841
211	4387	1821
212	4410	1801
213	4428	1779
214	4445	1757
215	4461	1735
216	4478	1712
217	4496	1691
218	4517	1670
219	4533	1648
220	4559	1629
221	4591	1613
222	4609	1591
223	4629	1570
224	4649	1549
225	4673	1530
226	4699	1511
227	4718	1489
228	4737	1468
229	4754	1446
230	4770	1424
231	4786	1403
232	4804	1381
233	4820	1359
234	4839	1338
235	4856	1316
236	4873	1295
237	4890	1273
238	4906	1252
239	4937	1234
240	4970	1216
241	4986	1195
242	5005	1174
243	5021	1152
244	5038	1131
245	5057	1110
246	5073	1088
247	5088	1066
248	5105	1045
249	5122	1024
250	5138	1003
251	5161	983
252	5182	962
253	5204	942
254	5224	921
255	5244	901
256	5262	880
257	5278	859
258	5295	838
259	5312	817
260	5330	796
261	5348	775
262	5378	756
263	5397	736
264	5413	715
265	5432	694
266	5453	673
267	5481	654
268	5498	633
269	5515	612
270	5534	592
271	5550	571
272	5569	550
273	5591	530
274	5606	509
275	5622	488
276	5637	468
277	5653	447
278	5667	426
279	5689	406
280	5715	386
281	5743	366
282	5760	346
283	5777	325
284	5806	305
285	5822	285
286	5838	264
287	5855	243
288	5871	223
289	5890	203
290	5906	182
291	5923	162
292	5947	142
293	5967	121
294	5984	101
295	5999	81
296	6018	60
297	6032	40
298	6045	20
299	6062	0
